comments	dye	buffer too bad?	reject_buffer	maxed_out	protein_sensitive	Exp0521--NHR32LBD	Ds00009--0p01_TritonX100_in_P1	Ds00010--Hsp72_SBD	Ds00011--Tau_P301S	Exp0468--eIF2B_no_ISIB	Exp0469--eIF2B_with_ISRIB	Exp0486--Jdomain	Exp0497--Hsp60	Exp0503--FKBP12	Exp0507--Hsc70	Exp0595--ACD_domain_protein6	Exp0596--H104-FL-B5-pre-inc_protein5	Exp0598--FL-B5-pre-inc_protein2	Exp0610--B5_with_zinc	Exp0615--BSA	Exp0616--FKBP12	Exp0618--OLF	Exp0619--PPIE	Exp0620--NPAS2_PAS-A	Exp0621--PER2_PAS-AB_wt	Exp0622--CLOCK_PASB_W362A	Exp0623--CP_BMAL1_PASB_W427A	Exp0624--HisPER2_AB_I324N	Exp0625--CP581_CBPKIX	Exp0626--CP547_p300_KIX	Exp0627--HisSUMO	Exp0628--Hsp10	Exp0629--HisGB1	Exp0630--Hsp60	Exp0650--His_NusA	Exp0671--GS_WT	Exp0672--GS_R341C	Exp0673--GS_324S	Exp0674--GS_324C	Exp0701--B5-pre-inc_phosphomim_protein_4	Exp0707--DDM_buffer	Exp0710--Nucleosome	Exp0723--Retinoic_acid_receptor_alpha	Exp0727--Snf2h_dye_screen	Exp0729--Tau_mi_diamond_10uM	Exp0730--Tau_ms_diamond	Exp0731--OGlcNacTransferase	Exp0732--Widom_601_DNA	Exp0734--Tau_mi_diamond_1uM	Exp0535--free_aas_mix1_G	Exp0535--free_aas_mix2_CMLRG	Exp0535--free_aas_mix3_DESNQ	Exp0535--free_aas_mix4_AVILP	Exp0535--free_aas_mix5_FYWTH
crazy buffer	L049	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L050	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L051	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L052	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L053	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	0	0	0	0	0	0
0	L054	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L055	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L056	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L057	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L058	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L059	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L060	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0
crazy buffer	L061	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L062	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	2	2	2	0	0	2	2	2	0	0	0	0	0	1	1	1	1	1	1	2	2	2	1	0	0	0	1	1	0	0	0	0	0	0
0	L063	0	FALSE	FALSE	FALSE	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	2	2	1	0	0	0	0	0	1	1	1	1	1	1	0	2	1	2	2	2	0	0	2	2	0	0	0	0	0
0	L064	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
crazy buffer	L065	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L066	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
"crazy buffer, quenching hits"	L067	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0	2	2	2	2	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
crazy buffer	L068	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
crazy buffer	L069	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0
crazy buffer	L070	-1	FALSE	FALSE	TRUE	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	2	2	2	2	2	2	0	2	1	0	0	2	0	0	2	0	0	0	0	0	0
dim hits	L071	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
high FAM buffer	L072	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
high Cy5 Cy5/5 buffer	L073	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0
high Cy5 Cy5/5 buffer	L074	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
high Cy5 Cy5/5 buffer	L075	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
high Cy5 Cy5/5 buffer quenching hits?	L076	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	0	0	0	0	0	0	0	2	2	2	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0
high Cy5 Cy5/5 buffer quenching hits?	L077	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L078	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0
0	L079	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L080	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	2	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L081	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	2	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L082	0	FALSE	FALSE	FALSE	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
high buffer in cy5/cy5.5	L083	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	1	2	2	2	2	2	2	0	0	0	0	0
0	L084	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L085	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
very dim--bleed?	L086	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dim hits	L087	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0	L088	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L089	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0
0	L090	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	2	0	0	2	2	1	1	1	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0
0	L091	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	1	1	0	1	2	2	0	0	0	0	0	1	1	1	1	1	1	2	1	2	2	0	0	0	1	1	0	0	0	0	0	0
0	L092	-1	FALSE	FALSE	TRUE	0	2	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0
high buffer but good transitions	L093	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	2	1	2	1	0	0	0	1	1	0	0	0	0	0	0
0	L094	0	FALSE	FALSE	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	2	2	0	0	0	0	0	1	1	1	1	1	1	2	1	2	2	1	0	0	1	1	0	0	0	0	0	0
0	L095	0	FALSE	FALSE	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	2	1	2	1	2	2	0	0	1	0	0	0	0	0	0
0	L096	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	1	0	0	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	0	0	0	0	0
0	L097	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	2	0	0	0	0	0	1	0	1	0	1	1	2	1	2	2	0	0	0	0	1	0	0	0	0	0	0
high cy5 cy55 buffer but some nice transitions	L098	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0
0	L099	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	2	2	0	0	0	0	0	1	1	1	1	1	1	0	2	2	2	2	2	0	1	1	2	0	0	0	0	0
0	L100	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
terrible nonlinear buffer in cy5 and cy55 but seemingly some quenching hits?	L101	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	2	0	0	0	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	0	2	0	0	0	0	0
0	L102	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L103	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L104	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0
0	L105	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L106	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L107	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0	L108	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA001	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
very dim--bleed?	MWA002	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
very dim--bleed?	MWA003	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA004	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA007	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA008	1	TRUE	FALSE	FALSE	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	2	0	0	2	0	0	0	0
0	MWA009	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA010	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA011	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA012	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA013	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA014	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA015	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA016	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA017	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA018	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA019	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA020	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWA021	0	FALSE	FALSE	FALSE	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	2	0	2	2	2	2	0	0	0	0	2	2	2	2	2	2	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0
0	MWB001	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB002	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2
0	MWB003	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB004	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB007	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB008	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
very dim--bleed?	MWB009	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	MWB010	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB011	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB012	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB013	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB014	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB015	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	MWB016	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB017	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB018	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWB019	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWC001	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWC002	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWC003	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWC004	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MWC005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0
0	MWC006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
